LOC122957934	rna-XM_044318375.1
LOC114952982	rna-XM_044318367.1
LOC114952983	rna-XM_029329082.2
LOC114953070	rna-XM_029329224.2
LOC114953091	rna-XM_029329246.2
LOC114953009	rna-XM_029329119.2
LOC114953008	rna-XM_029329118.2
LOC114953006	rna-XM_029329115.2
LOC114953007	rna-XM_029329117.2
LOC114953007	rna-XM_029329116.2
LOC114953010	rna-XM_029329122.2
LOC114953075	rna-XM_029329232.2
LOC114953075	rna-XM_029329231.2
LOC114953071	rna-XM_044309801.1
LOC114952999	rna-XM_044318428.1
LOC114953063	rna-XM_029329212.2
LOC114953063	rna-XM_029329214.2
LOC114953063	rna-XM_029329213.2
LOC114953063	rna-XM_029329215.2
LOC114953067	rna-XM_044318460.1
LOC114953068	rna-XM_029329222.2
LOC114953064	rna-XM_029329218.2
LOC114953064	rna-XM_029329216.2
LOC114953052	rna-XM_029329195.2
LOC114953053	rna-XM_029329198.2
LOC114953053	rna-XM_029329196.2
LOC114953053	rna-XM_044318469.1
LOC114953053	rna-XM_044318474.1
LOC114953051	rna-XM_044318461.1
LOC114953049	rna-XM_029329192.2
LOC114953050	rna-XM_029329193.2
LOC122947062	rna-XM_044318516.1
LOC114953046	rna-XM_044318502.1
LOC114953046	rna-XM_044318507.1
LOC114953048	rna-XM_029329191.2
LOC114953048	rna-XM_029329190.2
LOC114953073	rna-XM_044318541.1
LOC114951693	rna-XM_044318530.1
LOC114951693	rna-XM_044318534.1
LOC114953029	rna-XM_044318549.1
LOC114953029	rna-XM_044318552.1
LOC114953028	rna-XM_029329158.2
LOC114953028	rna-XM_044318587.1
LOC114953023	rna-XM_029329151.2
LOC114953026	rna-XM_029329155.2
LOC114953026	rna-XM_029329154.2
LOC114953025	rna-XM_029329152.2
LOC114953025	rna-XM_029329153.2
LOC114953069	rna-XM_044318603.1
LOC114953081	rna-XM_029329238.2
LOC114953037	rna-XM_044318628.1
LOC114953037	rna-XM_029329173.2
LOC114953041	rna-XM_029329177.2
LOC114953036	rna-XM_029329170.2
LOC114953036	rna-XM_044318613.1
LOC114953039	rna-XM_029329176.2
LOC114953033	rna-XM_029329165.2
LOC114953035	rna-XM_029329167.2
LOC114953042	rna-XM_029329178.2
LOC114953038	rna-XM_044318622.1
LOC114953043	rna-XM_044318649.1
LOC122946995	rna-XM_044318673.1
LOC122949770	rna-XM_044309820.1
LOC122958140	rna-XM_044318676.1
LOC122958137	rna-XM_044318669.1
LOC122949773	rna-XM_044309828.1
LOC122949779	rna-XM_044309830.1
LOC114953080	rna-XM_044318687.1
LOC114953034	rna-XM_029329166.2
LOC114953090	rna-XM_029329245.2
LOC114952996	rna-XM_029329099.2
LOC114952996	rna-XM_029329098.2
LOC114952996	rna-XM_029329100.2
LOC114952996	rna-XM_029329101.2
LOC114952994	rna-XM_029329096.2
LOC114952994	rna-XM_029329095.2
LOC114952994	rna-XM_029329097.2
LOC114953079	rna-XM_044318734.1
LOC114953030	rna-XM_044318758.1
LOC114953030	rna-XM_044318762.1
LOC114953030	rna-XM_044318745.1
